date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-01-02,0050,6283610,848793104,135.6,135.95,134.65,134.9,-0.55,10013
2024-01-03,0050,14783894,1963126583,133.7,133.9,132.3,132.55,-2.35,25258
2024-01-04,0050,4838660,641202865,132.55,132.75,132.3,132.5,-0.05,7094
2024-01-05,0050,4566320,604475455,132.55,132.95,132.1,132.15,-0.35,12744
2024-01-08,0050,9657556,1285524342,133.0,133.6,132.75,132.75,0.6,9876
2024-01-09,0050,5906880,787405208,133.85,133.95,132.75,133.0,0.25,6499
2024-01-10,0050,7249096,959855308,132.4,132.65,132.0,132.3,-0.7,13348
2024-01-11,0050,5852556,777172314,132.45,133.25,132.35,132.85,0.55,7305
2024-01-12,0050,6877839,911710806,132.2,133.05,131.95,132.65,-0.2,9482
2024-01-15,0050,12566534,1673280222,133.3,133.55,132.65,133.0,0.35,12513
2024-01-16,0050,23016099,3029504121,132.05,132.3,131.1,131.65,-1.35,23835
2024-01-17,0050,39219163,5016755779,130.0,130.0,127.3,127.45,0.0,50897
2024-01-18,0050,7535303,965672293,127.9,128.55,127.9,128.3,0.85,11151
2024-01-19,0050,26897126,3553992205,131.7,133.1,131.1,132.9,4.6,18390
2024-01-22,0050,13443533,1799399654,133.8,134.35,133.35,133.8,0.9,12583
2024-01-23,0050,7339835,982801681,133.9,134.25,133.5,134.05,0.25,8187
2024-01-24,0050,14554385,1953259376,134.15,134.4,133.95,134.0,-0.05,8606
2024-01-25,0050,27224110,3687022852,135.05,135.7,134.9,135.65,1.65,20635
2024-01-26,0050,16456940,2234146555,135.65,135.95,135.3,135.65,0.0,11391
2024-01-29,0050,27291722,3720069370,135.65,136.65,135.6,136.5,0.85,14077
2024-01-30,0050,9944399,1356292111,136.35,136.65,136.05,136.15,-0.35,8051
2024-01-31,0050,7320760,985961198,135.25,135.3,134.35,134.35,-1.8,11931
2024-02-01,0050,8812920,1180328029,134.35,134.5,133.6,134.35,0.0,9600
2024-02-02,0050,9178958,1238629170,135.0,135.2,134.65,135.1,0.75,6764
2024-02-05,0050,17961425,2439229519,135.1,136.2,135.0,135.95,0.85,16536
2024-02-15,0050,44444918,6313384766,142.2,142.7,141.4,142.35,6.4,44592
2024-02-16,0050,18273199,2589642250,142.35,142.35,141.2,141.3,-1.05,14623
2024-02-19,0050,9632521,1357473487,141.0,141.25,140.6,141.1,-0.2,12669
2024-02-20,0050,13875231,1965919655,140.55,142.0,140.4,141.65,0.55,11241
2024-02-21,0050,12860271,1817231233,141.4,141.5,141.05,141.2,-0.45,13387
2024-02-22,0050,13160126,1875242859,142.95,143.05,141.85,142.8,1.6,13559
2024-02-23,0050,19974323,2872323988,143.45,144.1,143.3,143.75,0.95,17595
2024-02-26,0050,10368883,1491081396,143.7,144.0,143.0,143.95,0.2,12614
2024-02-27,0050,6507934,933504679,143.95,144.2,142.65,143.35,-0.6,10372
2024-02-29,0050,7372502,1055974598,143.0,143.95,142.7,143.3,-0.05,10899
2024-03-01,0050,9019098,1292041933,143.55,143.95,142.8,142.8,-0.5,11396
2024-03-04,0050,25733539,3766826897,145.0,147.2,144.85,146.95,4.15,23900
2024-03-05,0050,17270419,2557952404,147.75,148.55,147.35,148.15,1.2,18112
2024-03-06,0050,17232812,2554806448,147.0,149.05,146.4,148.85,0.7,14657
2024-03-07,0050,31117921,4732119017,151.0,153.0,150.75,152.3,3.45,25573
2024-03-08,0050,30512569,4733555354,155.6,156.45,153.0,154.45,2.15,27381
2024-03-11,0050,13908138,2131482853,153.85,154.2,152.55,152.9,-1.55,19953
2024-03-12,0050,15457256,2377895105,152.2,154.6,152.1,154.5,1.6,13566
2024-03-13,0050,13431850,2088230077,155.55,156.15,154.95,155.25,0.75,12114
2024-03-14,0050,8777345,1361442129,154.9,155.8,154.3,155.1,-0.15,9671
2024-03-15,0050,9218845,1418850825,154.3,154.75,153.0,153.0,-2.1,14662
2024-03-18,0050,18434059,2836201013,153.0,154.5,153.0,154.4,1.4,11959
2024-03-19,0050,8872114,1365460173,153.4,154.55,153.0,154.05,-0.35,8199
2024-03-20,0050,10441824,1609185340,154.2,155.3,153.0,153.2,-0.85,11445
2024-03-21,0050,21131978,3315155281,155.55,157.7,155.55,157.4,4.2,21103
2024-03-22,0050,7163593,1126524179,157.5,158.25,156.5,157.2,-0.2,8945
2024-03-25,0050,9052498,1426632970,157.2,158.0,156.95,157.5,0.3,10534
2024-03-26,0050,7011591,1106518323,158.3,159.2,156.4,157.6,0.1,10423
2024-03-27,0050,4644158,730810486,157.4,157.85,156.9,157.65,0.05,5803
2024-03-28,0050,3438375,539015594,157.3,157.3,155.9,156.9,-0.75,7097
2024-03-29,0050,8255237,1302182597,156.9,158.4,156.9,157.9,1.0,7944
2024-04-01,0050,5727780,904051439,158.2,158.75,157.25,157.4,-0.5,9814
2024-04-02,0050,7924481,1261718566,158.45,159.65,158.4,159.65,2.25,11341
